temporada,Benetton,Ferrari,Force India,McLaren,Mercedes,Red Bull,Renault,Team Lotus,Tyrrell,Williams
1950,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,0.0,227.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1954,0.0,430.28,0.0,0.0,60.14,0.0,0.0,0.0,0.0,0.0
1955,0.0,464.27,0.0,0.0,139.14,0.0,0.0,0.0,0.0,0.0
1956,0.0,546.27,0.0,0.0,139.14,0.0,0.0,0.0,0.0,0.0
1957,0.0,594.27,0.0,0.0,139.14,0.0,0.0,0.0,0.0,0.0
1958,0.0,687.27,0.0,0.0,139.14,0.0,0.0,3.0,0.0,0.0
1959,0.0,754.27,0.0,0.0,139.14,0.0,0.0,8.0,0.0,0.0
1960,0.0,797.27,0.0,0.0,139.14,0.0,0.0,60.0,0.0,0.0
1961,0.0,896.27,0.0,0.0,139.14,0.0,0.0,60.0,0.0,0.0
1962,0.0,926.27,0.0,0.0,139.14,0.0,0.0,60.0,0.0,0.0
1963,0.0,953.27,0.0,0.0,139.14,0.0,0.0,60.0,0.0,0.0
1964,0.0,1017.27,0.0,0.0,139.14,0.0,0.0,60.0,0.0,0.0
1965,0.0,1049.27,0.0,0.0,139.14,0.0,0.0,60.0,0.0,0.0
1966,0.0,1091.27,0.0,0.0,139.14,0.0,0.0,60.0,0.0,0.0
1967,0.0,1114.27,0.0,0.0,139.14,0.0,0.0,60.0,0.0,0.0
1968,0.0,1151.27,0.0,0.0,139.14,0.0,0.0,60.0,0.0,0.0
1969,0.0,1158.27,0.0,0.0,139.14,0.0,0.0,60.0,0.0,0.0
1970,0.0,1234.27,0.0,0.0,139.14,0.0,0.0,130.0,0.0,0.0
1971,0.0,1278.27,0.0,13.0,139.14,0.0,0.0,130.0,88.0,0.0
1972,0.0,1325.27,0.0,79.0,139.14,0.0,0.0,191.0,148.0,0.0
1973,0.0,1339.27,0.0,147.0,139.14,0.0,0.0,298.0,266.0,0.0
1974,0.0,1429.27,0.0,234.0,139.14,0.0,0.0,345.0,325.0,0.0
1975,0.0,1518.77,0.0,299.0,139.14,0.0,0.0,354.0,357.0,6.0
1976,0.0,1617.77,0.0,387.0,139.14,0.0,0.0,386.0,445.0,6.0
1977,0.0,1731.77,0.0,452.0,139.14,0.0,0.0,453.0,472.0,6.0
1978,0.0,1796.77,0.0,468.0,139.14,0.0,3.0,569.0,513.0,17.0
1979,0.0,1909.77,0.0,483.0,139.14,0.0,29.0,608.0,541.0,92.0
1980,0.0,1917.77,0.0,494.0,139.14,0.0,67.0,622.0,553.0,212.0
1981,0.0,1951.77,0.0,522.0,139.14,0.0,121.0,644.0,563.0,307.0
1982,0.0,2025.77,0.0,591.0,139.14,0.0,183.0,674.0,588.0,365.0
1983,0.0,2114.77,0.0,625.0,139.14,0.0,262.0,686.0,600.0,403.0
1984,0.0,2172.27,0.0,768.5,139.14,0.0,296.0,733.0,600.0,428.5
1985,0.0,2254.27,0.0,858.5,139.14,0.0,312.0,804.0,607.0,499.5
1986,19.0,2291.27,0.0,954.5,139.14,0.0,312.0,862.0,618.0,640.5
1987,47.0,2344.27,0.0,1030.5,139.14,0.0,312.0,926.0,629.0,777.5
1988,86.0,2409.27,0.0,1229.5,139.14,0.0,312.0,949.0,634.0,797.5
1989,125.0,2468.27,0.0,1370.5,139.14,0.0,312.0,964.0,650.0,874.5
1990,196.0,2578.27,0.0,1491.5,139.14,0.0,312.0,967.0,666.0,931.5
1991,234.5,2633.77,0.0,1630.5,139.14,0.0,312.0,970.0,678.0,1056.5
1992,325.5,2654.77,0.0,1729.5,139.14,0.0,312.0,983.0,686.0,1220.5
1993,397.5,2682.77,0.0,1813.5,139.14,0.0,312.0,995.0,686.0,1388.5
1994,500.5,2753.77,0.0,1855.5,139.14,0.0,312.0,995.0,699.0,1506.5
1995,647.5,2826.77,0.0,1885.5,139.14,0.0,312.0,995.0,704.0,1624.5
1996,715.5,2896.77,0.0,1934.5,139.14,0.0,312.0,995.0,709.0,1799.5
1997,782.5,2998.77,0.0,1997.5,139.14,0.0,312.0,995.0,711.0,1922.5
1998,815.5,3131.77,0.0,2153.5,139.14,0.0,312.0,995.0,711.0,1960.5
1999,831.5,3259.77,0.0,2277.5,139.14,0.0,312.0,995.0,711.0,1995.5
2000,851.5,3429.77,0.0,2439.5,139.14,0.0,312.0,995.0,711.0,2031.5
2001,861.5,3608.77,0.0,2541.5,139.14,0.0,312.0,995.0,711.0,2111.5
2002,861.5,3829.77,0.0,2606.5,139.14,0.0,335.0,995.0,711.0,2203.5
2003,861.5,3987.77,0.0,2748.5,139.14,0.0,423.0,995.0,711.0,2347.5
2004,861.5,4249.77,0.0,2817.5,139.14,0.0,528.0,995.0,711.0,2435.5
2005,861.5,4349.77,0.0,2999.5,139.14,34.0,719.0,995.0,711.0,2501.5
2006,861.5,4550.77,0.0,3109.5,139.14,50.0,925.0,995.0,711.0,2512.5
2007,861.5,4754.77,0.0,3327.5,139.14,74.0,976.0,995.0,711.0,2545.5
2008,861.5,4926.77,0.0,3478.5,139.14,103.0,1056.0,995.0,711.0,2571.5
2009,861.5,4996.77,13.0,3549.5,139.14,256.5,1082.0,995.0,711.0,2606.0
2010,861.5,5392.77,81.0,4003.5,353.14,754.5,1245.0,995.0,711.0,2675.0
2011,861.5,5767.77,150.0,4500.5,518.14,1404.5,1318.0,995.0,711.0,2680.0
2012,861.5,6167.77,259.0,4878.5,660.14,1864.5,1318.0,995.0,711.0,2756.0
2013,861.5,6521.77,336.0,5000.5,1020.14,2460.5,1318.0,995.0,711.0,2761.0
2014,861.5,6737.77,491.0,5181.5,1721.1399999999999,2865.5,1318.0,995.0,711.0,3081.0
2015,861.5,7165.77,627.0,5208.5,2424.14,3052.5,1318.0,995.0,711.0,3338.0
2016,861.5,7563.77,800.0,5284.5,3189.14,3520.5,1326.0,995.0,711.0,3476.0
2017,861.5,8085.77,987.0,5314.5,3857.14,3888.5,1383.0,995.0,711.0,3559.0
2018,861.5,8656.77,1098.0,5376.5,4512.139999999999,4307.5,1505.0,995.0,711.0,3566.0
2019,861.5,9160.77,1098.0,5521.5,5251.139999999999,4724.5,1596.0,995.0,711.0,3567.0
2020,861.5,9291.77,1098.0,5723.5,5824.139999999999,5043.5,1777.0,995.0,711.0,3567.0
2021,861.5,9614.27,1098.0,5997.5,6428.639999999999,5622.0,1777.0,995.0,711.0,3590.0
2022,861.5,10133.27,1098.0,6147.5,6923.639999999999,6346.0,1777.0,995.0,711.0,3598.0
2023,861.5,10496.27,1098.0,6413.5,7297.639999999999,7136.0,1777.0,995.0,711.0,3624.0
2024,861.5,11091.27,1098.0,7022.5,7730.639999999999,7673.0,1777.0,995.0,711.0,3641.0
